opcode_hex,signed_opcode,if_off,body_end_off,first_handler,meaningful_calls,branch_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000,all_calls
0x8112,-32494,0x066e,0x067c,0672:LscriptPages/game/i;->x(Ljava/lang/String;)V,0672:LscriptPages/game/i;->x(Ljava/lang/String;)V,,0x1112 di_提示不能发言@scriptPages/game/i->H,0x0112,0672:LscriptPages/game/i;->x(Ljava/lang/String;)V
0x8113,-32493,0x0680,0x068c,,,,0x1113,0x0113,
0x8114,-32492,0x11b0,0x11be,11b4:LscriptPages/game/h0;->a0(Ljava/lang/String;)V,11b4:LscriptPages/game/h0;->a0(Ljava/lang/String;)V,,0x1114,0x0114,11b4:LscriptPages/game/h0;->a0(Ljava/lang/String;)V
0x8116,-32490,0x11c2,0x11d0,11c6:LscriptPages/game/h0;->c0(Ljava/lang/String;)V,11c6:LscriptPages/game/h0;->c0(Ljava/lang/String;)V,,0x1116 reqDelMsg@scriptPages/game/h0->b0,0x0116,11c6:LscriptPages/game/h0;->c0(Ljava/lang/String;)V
0x8118,-32488,0x11d4,0x11e2,11d8:LscriptPages/game/h0;->h0(Ljava/lang/String;)V,11d8:LscriptPages/game/h0;->h0(Ljava/lang/String;)V,,0x1118 reqSendMsg@scriptPages/game/h0->g0,0x0118,11d8:LscriptPages/game/h0;->h0(Ljava/lang/String;)V
0x811a,-32486,0x11e6,0x11f4,11ea:LscriptPages/game/h0;->f0(Ljava/lang/String;)V,11ea:LscriptPages/game/h0;->f0(Ljava/lang/String;)V,,0x111a (unnamed)@scriptPages/game/h0->m0,0x011a,11ea:LscriptPages/game/h0;->f0(Ljava/lang/String;)V
0x811d,-32483,0x11f8,0x1206,11fc:LscriptPages/game/h0;->Y(Ljava/lang/String;)V,11fc:LscriptPages/game/h0;->Y(Ljava/lang/String;)V,,0x111d,0x011d,11fc:LscriptPages/game/h0;->Y(Ljava/lang/String;)V
0x811f,-32481,0x121c,0x122a,1220:LscriptPages/game/h0;->d0(Ljava/lang/String;)V,1220:LscriptPages/game/h0;->d0(Ljava/lang/String;)V,,0x111f,0x011f,1220:LscriptPages/game/h0;->d0(Ljava/lang/String;)V
0x8120,-32480,0x0d24,0x0d48,0d34:LscriptPages/data/i;->x(Ljava/lang/String;)V,0d34:LscriptPages/data/i;->x(Ljava/lang/String;)V || 0d3e:LscriptPages/game/w;->e0(Ljava/lang/String;)V,0d28:readByte(Ljava/lang/String;)B,0x1120 reqRoleInfo@scriptPages/game/w->d0,0x0120,0d28:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0d34:LscriptPages/data/i;->x(Ljava/lang/String;)V || 0d3e:LscriptPages/game/w;->e0(Ljava/lang/String;)V
0x8122,-32478,0x0e58,0x0e66,0e5c:LscriptPages/game/w;->T(Ljava/lang/String;)V,0e5c:LscriptPages/game/w;->T(Ljava/lang/String;)V,,0x1122,0x0122,0e5c:LscriptPages/game/w;->T(Ljava/lang/String;)V
0x8124,-32476,0x0e34,0x0e42,0e38:LscriptPages/game/w;->R(Ljava/lang/String;)V,0e38:LscriptPages/game/w;->R(Ljava/lang/String;)V,,0x1124,0x0124,0e38:LscriptPages/game/w;->R(Ljava/lang/String;)V
0x8126,-32474,0x0e46,0x0e54,0e4a:LscriptPages/game/w;->b(Ljava/lang/String;)V,0e4a:LscriptPages/game/w;->b(Ljava/lang/String;)V,,0x1126,0x0126,0e4a:LscriptPages/game/w;->b(Ljava/lang/String;)V
0x8130,-32464,0x122e,0x123c,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V,,0x1130 (unnamed)@scriptPages/game/m0->r,0x0130,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V
0x8131,-32463,0x1240,0x124e,1244:Lo/a;->k7(Ljava/lang/String;)V,1244:Lo/a;->k7(Ljava/lang/String;)V,,0x1131,0x0131,1244:Lo/a;->k7(Ljava/lang/String;)V
0x8132,-32462,0x1252,0x1260,1256:LscriptPages/game/m0;->w(Ljava/lang/String;)V,1256:LscriptPages/game/m0;->w(Ljava/lang/String;)V,,0x1132 reqTaskInfo@scriptPages/game/m0->v,0x0132,1256:LscriptPages/game/m0;->w(Ljava/lang/String;)V
0x8134,-32460,0x1276,0x1284,127a:LscriptPages/game/m0;->u(Ljava/lang/String;)V,127a:LscriptPages/game/m0;->u(Ljava/lang/String;)V,,0x1134 reqGainAward@scriptPages/game/m0->t,0x0134,127a:LscriptPages/game/m0;->u(Ljava/lang/String;)V
0x8136,-32458,0x1288,0x1296,128c:LscriptPages/game/m0;->y(Ljava/lang/String;)V,128c:LscriptPages/game/m0;->y(Ljava/lang/String;)V,,0x1136 facebook@scriptPages/game/m0->B,0x0136,128c:LscriptPages/game/m0;->y(Ljava/lang/String;)V
0x8137,-32457,0x129a,0x12a8,129e:Lo/a;->n7(Ljava/lang/String;)V,129e:Lo/a;->n7(Ljava/lang/String;)V,,0x1137,0x0137,129e:Lo/a;->n7(Ljava/lang/String;)V
0x8138,-32456,0x12ac,0x12ba,12b0:Lo/a;->N7(Ljava/lang/String;)V,12b0:Lo/a;->N7(Ljava/lang/String;)V,,0x1138 di_联网数据请求@o/a->e5,0x0138,12b0:Lo/a;->N7(Ljava/lang/String;)V
0x8139,-32455,0x1264,0x1272,1268:Lo/a;->m7(Ljava/lang/String;)V,1268:Lo/a;->m7(Ljava/lang/String;)V,,0x1139,0x0139,1268:Lo/a;->m7(Ljava/lang/String;)V
0x813a,-32454,0x12be,0x12cc,12c2:Lo/a;->o7(Ljava/lang/String;)V,12c2:Lo/a;->o7(Ljava/lang/String;)V,,0x113a,0x013a,12c2:Lo/a;->o7(Ljava/lang/String;)V
0x8140,-32448,0x06fc,0x070a,0700:LscriptPages/game/k0;->U(Ljava/lang/String;)V,0700:LscriptPages/game/k0;->U(Ljava/lang/String;)V,,0x1140 (unnamed)@scriptPages/game/k0->b0; statereturn@scriptPages/game/k0->b0,0x0140,0700:LscriptPages/game/k0;->U(Ljava/lang/String;)V
0x8142,-32446,0x070e,0x071c,0712:LscriptPages/game/k0;->W(Ljava/lang/String;)V,0712:LscriptPages/game/k0;->W(Ljava/lang/String;)V,,0x1142 reqRoleStatusSet@scriptPages/game/k0->V,0x0142,0712:LscriptPages/game/k0;->W(Ljava/lang/String;)V
0x8144,-32444,0x0720,0x072e,0724:LscriptPages/game/k0;->a0(Ljava/lang/String;)V,0724:LscriptPages/game/k0;->a0(Ljava/lang/String;)V,,0x1144 reqUseItem@scriptPages/game/k0->Z,0x0144,0724:LscriptPages/game/k0;->a0(Ljava/lang/String;)V
0x8146,-32442,0x0690,0x069e,0694:LscriptPages/data/g;->a3(Ljava/lang/String;)V,0694:LscriptPages/data/g;->a3(Ljava/lang/String;)V,,0x1146 (unnamed)@scriptPages/game/q->S0; (unnamed)@scriptPages/game/z->U0,0x0146,0694:LscriptPages/data/g;->a3(Ljava/lang/String;)V
0x8147,-32441,0x06a2,0x06b0,06a6:LscriptPages/gameHD/i;->a(Ljava/lang/String;)V,06a6:LscriptPages/gameHD/i;->a(Ljava/lang/String;)V,,0x1147 REQ_GOLD_INFO@scriptPages/gameHD/i->u,0x0147,06a6:LscriptPages/gameHD/i;->a(Ljava/lang/String;)V
0x8148,-32440,0x0768,0x0776,076c:LscriptPages/game/k0;->T(Ljava/lang/String;)V,076c:LscriptPages/game/k0;->T(Ljava/lang/String;)V,,0x1148 di_提示君主改名@scriptPages/game/k0->l0,0x0148,076c:LscriptPages/game/k0;->T(Ljava/lang/String;)V
0x8149,-32439,0x077a,0x0788,077e:LscriptPages/gameHD/k;->I(Ljava/lang/String;)V,077e:LscriptPages/gameHD/k;->I(Ljava/lang/String;)V,,0x1149,0x0149,077e:LscriptPages/gameHD/k;->I(Ljava/lang/String;)V
0x814a,-32438,0x06b4,0x06c2,06b8:Lo/a;->L7(Ljava/lang/String;)V,06b8:Lo/a;->L7(Ljava/lang/String;)V,,0x114a reqReplaceSkin@o/a->T7,0x014a,06b8:Lo/a;->L7(Ljava/lang/String;)V
0x814b,-32437,0x0732,0x0740,0736:LscriptPages/game/n;->l2(Ljava/lang/String;)V,0736:LscriptPages/game/n;->l2(Ljava/lang/String;)V,,0x114b tencentOpenPf@scriptPages/PageMain->runCountryExchangeTip; tencentOpenPf@scriptPages/game/n->M0,0x014b,0736:LscriptPages/game/n;->l2(Ljava/lang/String;)V
0x814c,-32436,0x0744,0x0752,0748:LscriptPages/gameHD/k;->R(Ljava/lang/String;)V,0748:LscriptPages/gameHD/k;->R(Ljava/lang/String;)V,,0x114c chenhaozhuanhuan@scriptPages/gameHD/k->w,0x014c,0748:LscriptPages/gameHD/k;->R(Ljava/lang/String;)V
0x814d,-32435,0x0756,0x0764,075a:LscriptPages/game/n;->m2(Ljava/lang/String;)V,075a:LscriptPages/game/n;->m2(Ljava/lang/String;)V,,0x114d,0x014d,075a:LscriptPages/game/n;->m2(Ljava/lang/String;)V
0x814e,-32434,0x06c6,0x06d4,06ca:Lo/a;->P7(Ljava/lang/String;)V,06ca:Lo/a;->P7(Ljava/lang/String;)V,,0x114e reqUnlockSkin@o/a->T7,0x014e,06ca:Lo/a;->P7(Ljava/lang/String;)V
0x814f,-32433,0x078c,0x079a,0790:LscriptPages/game/w;->j0(Ljava/lang/String;)V,0790:LscriptPages/game/w;->j0(Ljava/lang/String;)V,,0x114f reqRoleIconAndName@scriptPages/game/j->t,0x014f,0790:LscriptPages/game/w;->j0(Ljava/lang/String;)V
0x8150,-32432,0x16ec,0x16fa,16f0:LscriptPages/game/g0;->f(Ljava/lang/String;)V,16f0:LscriptPages/game/g0;->f(Ljava/lang/String;)V,,0x1150 di_联网数据请求@scriptPages/game/g0->d,0x0150,16f0:LscriptPages/game/g0;->f(Ljava/lang/String;)V
0x8152,-32430,0x16fe,0x170c,1702:LscriptPages/game/g0;->h(Ljava/lang/String;)V,1702:LscriptPages/game/g0;->h(Ljava/lang/String;)V,,0x1152 reqExchange@scriptPages/game/g0->g,0x0152,1702:LscriptPages/game/g0;->h(Ljava/lang/String;)V
0x8160,-32416,0x0a8a,0x0a98,0a8e:LscriptPages/game/k0;->S(Ljava/lang/String;)V,0a8e:LscriptPages/game/k0;->S(Ljava/lang/String;)V,,0x1160 di_提示金不足扩容@scriptPages/game/k0->o0,0x0160,0a8e:LscriptPages/game/k0;->S(Ljava/lang/String;)V
