opcode_hex,signed_opcode,if_off,likely_handler,calls
0x8010,-32752,0x03d6,"0003da:invoke-static v11, LscriptPages/game/s0;->R(Ljava/lang/String;)V","0003da:invoke-static v11, LscriptPages/game/s0;->R(Ljava/lang/String;)V"
0x8012,-32750,0x03e8,"0003ec:invoke-static v11, LscriptPages/game/s0;->S(Ljava/lang/String;)V","0003ec:invoke-static v11, LscriptPages/game/s0;->S(Ljava/lang/String;)V"
0x8014,-32748,0x03fa,"0003fe:invoke-static v11, LscriptPages/game/a0;->a0(Ljava/lang/String;)V","0003fe:invoke-static v11, LscriptPages/game/a0;->a0(Ljava/lang/String;)V"
0x8016,-32746,0x040c,"000410:invoke-static v11, LscriptPages/game/a0;->s0(Ljava/lang/String;)V","000410:invoke-static v11, LscriptPages/game/a0;->s0(Ljava/lang/String;)V"
0x8018,-32744,0x18f6,"0018fa:invoke-static v11, LscriptPages/game/p0;->E(Ljava/lang/String;)V","0018fa:invoke-static v11, LscriptPages/game/p0;->E(Ljava/lang/String;)V"
0x8020,-32736,0x041e,"000422:invoke-static v11, LscriptPages/data/i;->z(Ljava/lang/String;)V","000422:invoke-static v11, LscriptPages/data/i;->z(Ljava/lang/String;)V"
0x8022,-32734,0x1a4c,"001a50:invoke-static v11, LscriptPages/data/g;->f4(Ljava/lang/String;)V","001a50:invoke-static v11, LscriptPages/data/g;->f4(Ljava/lang/String;)V"
0x8024,-32732,0x1b98,"001b9c:invoke-static v11, LscriptPages/game/a0;->g0(Ljava/lang/String;)V","001b9c:invoke-static v11, LscriptPages/game/a0;->g0(Ljava/lang/String;)V"
0x8025,-32731,0x1c1e,"001c22:invoke-static v11, LscriptPages/game/b0;->O0(Ljava/lang/String;)V","001c22:invoke-static v11, LscriptPages/game/b0;->O0(Ljava/lang/String;)V"
0x8100,-32512,0x0454,"000458:invoke-static v11, LscriptPages/game/q;->m1(Ljava/lang/String;)V","000458:invoke-static v11, LscriptPages/game/q;->m1(Ljava/lang/String;)V"
0x8101,-32511,0x177c,"001780:invoke-static v11, LscriptPages/game/f0;->k(Ljava/lang/String;)V","001780:invoke-static v11, LscriptPages/game/f0;->k(Ljava/lang/String;)V"
