handler,code_off,direct_read_count,direct_read_sequence,direct_parser_calls
LscriptPages/game/s0;->S(Ljava/lang/String;)V,0x40ffe0,32,0000:readShort(Ljava/lang/String;)S || 0036:readShort(Ljava/lang/String;)S || 003e:readShort(Ljava/lang/String;)S || 008c:readShort(Ljava/lang/String;)S || 00a0:readLong(Ljava/lang/String;)J || 00a8:readShort(Ljava/lang/String;)S || 00b4:readShort(Ljava/lang/String;)S || 00c0:readByte(Ljava/lang/String;)B || 00ea:readByte(Ljava/lang/String;)B || 0102:readUTF(Ljava/lang/String;)Ljava/lang/String; || 010a:readByte(Ljava/lang/String;)B || 0112:readByte(Ljava/lang/String;)B || 011a:readByte(Ljava/lang/String;)B || 0122:readByte(Ljava/lang/String;)B || 012a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0142:readByte(Ljava/lang/String;)B || 014e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0156:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0162:readInt(Ljava/lang/String;)I || 016e:readInt(Ljava/lang/String;)I || 017a:readInt(Ljava/lang/String;)I || 0190:readShort(Ljava/lang/String;)S || 019c:readShort(Ljava/lang/String;)S || 01b4:readInt(Ljava/lang/String;)I || 01c0:readInt(Ljava/lang/String;)I || 01d0:readInt(Ljava/lang/String;)I || 01dc:readInt(Ljava/lang/String;)I || 01e8:readInt(Ljava/lang/String;)I || 01ee:readInt(Ljava/lang/String;)I || 01f4:readShort(Ljava/lang/String;)S || 01fc:readLong(Ljava/lang/String;)J || 0204:readByte(Ljava/lang/String;)B,02c2:LscriptPages/data/b;->l(J)I || 02d4:LscriptPages/data/b;->l(J)I || 02ec:LscriptPages/data/b;->l(J)I
LscriptPages/game/a0;->a0(Ljava/lang/String;)V,0x392408,8,0000:readByte(Ljava/lang/String;)B || 0012:readByte(Ljava/lang/String;)B || 0054:readLong(Ljava/lang/String;)J || 0064:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0074:readShort(Ljava/lang/String;)S || 0084:readByte(Ljava/lang/String;)B || 0094:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00a4:readUTF(Ljava/lang/String;)Ljava/lang/String;,00b6:LscriptPages/game/a0;->A()V || 00d0:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00d8:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/a0;->s0(Ljava/lang/String;)V,0x392e98,2,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0034:LscriptPages/data/g;->C0()Ljava/lang/String; || 003c:LscriptPages/game/b0;->P0(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V || 0066:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 007c:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0084:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 009a:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/p0;->E(Ljava/lang/String;)V,0x3de020,2,0012:readByte(Ljava/lang/String;)B || 0034:readUTF(Ljava/lang/String;)Ljava/lang/String;,005a:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0076:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 009e:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 00c2:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 00f2:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0114:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0136:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0150:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 016e:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0186:LscriptPages/game/w;->J(I)V || 019e:LscriptPages/game/w;->y(I)V || 01b4:LscriptPages/game/w;->H(I)V || 01d6:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 01f2:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0212:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 022e:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 024a:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 0272:LscriptPages/game/p0;->B(Ljava/lang/String; S Ljava/lang/String; I)V || 028a:LscriptPages/game/w;->H(I)V || 029a:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 02a2:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/data/i;->z(Ljava/lang/String;)V,0x28c230,8,0000:readLong(Ljava/lang/String;)J || 000c:readLong(Ljava/lang/String;)J || 0018:readInt(Ljava/lang/String;)I || 0024:readInt(Ljava/lang/String;)I || 0030:readLong(Ljava/lang/String;)J || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J || 0054:readLong(Ljava/lang/String;)J,
LscriptPages/data/g;->f4(Ljava/lang/String;)V,0x28736c,8,0006:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0012:readByte(Ljava/lang/String;)B || 002c:readShort(Ljava/lang/String;)S || 003e:readByte(Ljava/lang/String;)B || 0058:readLong(Ljava/lang/String;)J || 006a:readByte(Ljava/lang/String;)B || 008c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 009c:readUTF(Ljava/lang/String;)Ljava/lang/String;,00cc:LscriptPages/PageMain;->setStatus(I)V || 01c8:LscriptPages/game/r0;->F(I)I || 024a:LscriptPages/game/r0;->F(I)I || 02a0:LscriptPages/game/b;->b(I I I I)I || 02d0:LscriptPages/data/f;->C(I I I I)I || 02f8:LscriptPages/game/b;->B(I I I I)I || 030a:LscriptPages/data/f;->C(I I I I)I || 0342:LscriptPages/data/f;->C(I I I I)I || 035c:LscriptPages/data/g;->n2()V
LscriptPages/game/a0;->g0(Ljava/lang/String;)V,0x392754,1,0000:readByte(Ljava/lang/String;)B,0016:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 001e:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0050:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0058:LscriptPages/game/r0;->b0(Ljava/lang/String; [S [Ljava/lang/String;)V
LscriptPages/game/b0;->O0(Ljava/lang/String;)V,0x383ecc,1,0000:readByte(Ljava/lang/String;)B,0010:LscriptPages/PageMain;->setStatus(I)V || 0016:LscriptPages/game/b0;->U()V
LscriptPages/game/q;->m1(Ljava/lang/String;)V,0x328478,6,0000:readShort(Ljava/lang/String;)S || 0006:readByte(Ljava/lang/String;)B || 003a:readLong(Ljava/lang/String;)J || 004a:readInt(Ljava/lang/String;)I || 005a:readShort(Ljava/lang/String;)S || 006a:readShort(Ljava/lang/String;)S,0112:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 011a:LscriptPages/game/r0;->Z(Ljava/lang/String; I)V || 012c:LscriptPages/game/q0;->n(Ljava/lang/String; Z)V || 0140:LscriptPages/game/r0;->G(I)I || 0158:Lo/a;->s6(Ljava/lang/String; I I I Ljava/lang/String; I)I || 017c:LscriptPages/game/b;->j(I Ljava/lang/String; I I I Ljava/lang/String; Ljava/lang/String;)I || 019e:LscriptPages/game/r0;->G(I)I || 01ac:LscriptPages/game/q0;->l(Ljava/lang/String; Ljava/lang/String; I I)V || 01c6:LscriptPages/game/q0;->l(Ljava/lang/String; Ljava/lang/String; I I)V || 01f6:LscriptPages/game/i;->t(I)V || 0200:LscriptPages/game/q;->u0()V || 0206:LscriptPages/game/q;->v0()V
LscriptPages/game/f0;->k(Ljava/lang/String;)V,0x39de58,17,003c:readByte(Ljava/lang/String;)B || 0052:readShort(Ljava/lang/String;)S || 005e:readShort(Ljava/lang/String;)S || 0096:readByte(Ljava/lang/String;)B || 00d0:readLong(Ljava/lang/String;)J || 00e0:readShort(Ljava/lang/String;)S || 00f0:readInt(Ljava/lang/String;)I || 0100:readShort(Ljava/lang/String;)S || 0110:readShort(Ljava/lang/String;)S || 015e:readShort(Ljava/lang/String;)S || 016a:readShort(Ljava/lang/String;)S || 017a:readByte(Ljava/lang/String;)B || 01cc:readLong(Ljava/lang/String;)J || 01e0:readShort(Ljava/lang/String;)S || 01f4:readInt(Ljava/lang/String;)I || 0208:readShort(Ljava/lang/String;)S || 021c:readShort(Ljava/lang/String;)S,029c:LscriptPages/game/f0;->d()V || 02a8:LscriptPages/game/f0;->g()V || 02b4:LscriptPages/game/f0;->c()V || 02c0:LscriptPages/game/f0;->f()V || 02cc:LscriptPages/game/f0;->h()V || 02d8:LscriptPages/game/f0;->j()V || 02e4:LscriptPages/game/f0;->i()V || 02f0:LscriptPages/game/f0;->e()V
