file,direction,opcode_hex,payload_len,payload_hex,dm,gm,client_time,outer_index,inner_index,server_time,unique,obfuscated,flag,payload_prefix_hex
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/002_2026-07-05_021621_161_resp.bin,response,0x800d,24476,,,,,0,1,6264113312098633540,1869809169353191505,0,0,010200000000000003a000420004830c0006e6b0b8e5ae8904023d0500000000
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_resp.bin,response,0x8800,3,,,,,0,0,6264113312098633540,1869809170030571616,0,0,000000
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_resp.bin,response,0x8800,3,,,,,1,0,6264113312098633540,1869809170030571618,0,0,000000
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_resp.bin,response,0xa110,5662,,,,,2,0,6264113312098633540,1869809170031620196,0,0,01000000000008a39500000000000f49b50000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_resp.bin,response,0xe200,1394,,,,,3,0,6264113312098633540,1869809170034765926,0,0,0000000000000e772107ea0705031f02040500040300253530303030e9939ce9
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/004_2026-07-05_021622_488_resp.bin,response,0x8130,934,,,,,0,0,6264113312098633540,1869809170732068981,0,0,000b0000000000002714000ce7a78de6a48de68a80e69caf0100000000000027
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/004_2026-07-05_021622_488_resp.bin,response,0xe200,1394,,,,,1,0,6264113312098633540,1869809170732068983,0,0,0000000000000e772107ea0705031f02040500040300253530303030e9939ce9
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/005_2026-07-05_021635_268_resp.bin,response,0x8104,618,,,,,0,0,6264113312098633540,1869809184144404934,0,0,00000000000000000000000000000424002b000800010000000000000000006e
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/006_2026-07-05_021637_822_resp.bin,response,0xa160,222,,,,,0,0,6264113312098633540,1869809186804642276,0,0,01000400010c00000000000000bd02d0ffffffff0064000000000000000000a9
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/007_2026-07-05_021642_491_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809191687860810,0,0,01000000000008a39c00000000000f49bb0000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/008_2026-07-05_021652_613_resp.bin,response,0xa160,132,,,,,0,0,6264113312098633540,1869809202309936054,0,0,07000100010700000000000000290057ffffffff00c80000000000000000002a
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/009_2026-07-05_021701_942_resp.bin,response,0xa160,222,,,,,0,0,6264113312098633540,1869809212148724884,0,0,05000200010c00000000000000780164ffffffff012c00000000000000000079
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/010_2026-07-05_021702_716_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809212904748195,0,0,01000000000008a3a300000000000f49c10000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/011_2026-07-05_021706_156_resp.bin,response,0xa160,132,,,,,0,0,6264113312098633540,1869809216584201475,0,0,07000100010700000000000000290057ffffffff00c80000000000000000002a
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/012_2026-07-05_021715_819_resp.bin,response,0x8102,673,,,,,0,0,6264113312098633540,1869809226640045500,0,0,f60024e8b4ade4b9b0e5a4b1e8b4a5efbc8ce8b4ade4b9b0e695b0e9878fe994
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/013_2026-07-05_021719_090_resp.bin,response,0x8104,618,,,,,0,0,6264113312098633540,1869809230115026410,0,0,00000000000000000000000000000424002b000800010000000000000000006e
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/014_2026-07-05_021720_252_resp.bin,response,0x8130,934,,,,,0,0,6264113312098633540,1869809231401629170,0,0,000b0000000000002714000ce7a78de6a48de68a80e69caf0100000000000027
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/015_2026-07-05_021721_145_resp.bin,response,0xa160,222,,,,,0,0,6264113312098633540,1869809232265655830,0,0,01000400010c00000000000000bd02d0ffffffff0064000000000000000000a9
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/016_2026-07-05_021723_438_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809234626000457,0,0,01000000000008a3aa00000000000f49c70000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/016_2026-07-05_021723_438_resp.bin,response,0xe200,1394,,,,,1,0,6264113312098633540,1869809234627049035,0,0,0000000000000e772107ea0705031f02040500040300253530303030e9939ce9
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/017_2026-07-05_021743_415_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809255574452070,0,0,01000000000008a3b100000000000f49cd0000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/018_2026-07-05_021803_735_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809276892002536,0,0,01000000000008a3b800000000000f49d30000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/019_2026-07-05_021824_155_resp.bin,response,0xa110,183,,,,,0,0,6264113312098633540,1869809298302876459,0,0,01000000000008a3bf00000000000f49da0000034b000002f200000000000004
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/019_2026-07-05_021824_155_resp.bin,response,0xe200,1394,,,,,1,0,6264113312098633540,1869809298304973613,0,0,0000000000000e772107ea0705031f02040500040300253530303030e9939ce9
